artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,preview_url,preview_url
Afroto,0.15,https://api.spotify.com/v1/audio-analysis/6cpTq72SH9QSocMTnGEKg5,0.947,212000,0.732,6cpTq72SH9QSocMTnGEKg5,0,9,0.134,-5.764,1,0.355,120.083,4,https://api.spotify.com/v1/tracks/6cpTq72SH9QSocMTnGEKg5,audio_features,spotify:track:6cpTq72SH9QSocMTnGEKg5,0.673,Brazil,https://p.scdn.co/mp3-preview/77d9f35922e96e636fd452ea02f2fc11c0a7b31e?cid=f0ab2ded1b8a482188532d1f3441d07c,6cpTq72SH9QSocMTnGEKg5
IVANN,0.062,https://api.spotify.com/v1/audio-analysis/6HNe2fozm5lvsmmV2tPwTQ,0.837,151708,0.558,6HNe2fozm5lvsmmV2tPwTQ,0.805,10,0.0991,-9.073,0,0.0897,120.027,4,https://api.spotify.com/v1/tracks/6HNe2fozm5lvsmmV2tPwTQ,audio_features,spotify:track:6HNe2fozm5lvsmmV2tPwTQ,0.684,Afro Tropical,https://p.scdn.co/mp3-preview/0eaee330e0429dc7e872f3667ab478cc1a140527?cid=f0ab2ded1b8a482188532d1f3441d07c,6HNe2fozm5lvsmmV2tPwTQ
Afroto,0.578,https://api.spotify.com/v1/audio-analysis/00TO3hVgOAgfKrRjrKEZxx,0.447,181311,0.54,00TO3hVgOAgfKrRjrKEZxx,0.000586,6,0.2,-12.572,0,0.0446,97.747,4,https://api.spotify.com/v1/tracks/00TO3hVgOAgfKrRjrKEZxx,audio_features,spotify:track:00TO3hVgOAgfKrRjrKEZxx,0.499,7ALA,https://p.scdn.co/mp3-preview/a6b878816230804b0dcf25ff91a7a95f056b3ebe?cid=f0ab2ded1b8a482188532d1f3441d07c,00TO3hVgOAgfKrRjrKEZxx
Afroto,0.568,https://api.spotify.com/v1/audio-analysis/3C6zfNQAGVjYFXaYg7xLTY,0.709,255414,0.487,3C6zfNQAGVjYFXaYg7xLTY,0,7,0.14,-8.371,0,0.0358,99.022,4,https://api.spotify.com/v1/tracks/3C6zfNQAGVjYFXaYg7xLTY,audio_features,spotify:track:3C6zfNQAGVjYFXaYg7xLTY,0.519,Sogara,https://p.scdn.co/mp3-preview/2d389cb9e32e4e62e11849b3e2aeeac63895f0d3?cid=f0ab2ded1b8a482188532d1f3441d07c,3C6zfNQAGVjYFXaYg7xLTY
Gilbeats,0.00183,https://api.spotify.com/v1/audio-analysis/6FfeJGg758VOH7pL1h7NoR,0.796,153097,0.473,6FfeJGg758VOH7pL1h7NoR,0.787,5,0.133,-11.11,0,0.113,113.069,4,https://api.spotify.com/v1/tracks/6FfeJGg758VOH7pL1h7NoR,audio_features,spotify:track:6FfeJGg758VOH7pL1h7NoR,0.854,AFRO LATINO,https://p.scdn.co/mp3-preview/20c3919a78ccf4b6d80408cfa47550551e6eff87?cid=f0ab2ded1b8a482188532d1f3441d07c,6FfeJGg758VOH7pL1h7NoR
Afroto,0.366,https://api.spotify.com/v1/audio-analysis/4eEqANCoWtjcegFNqnV3nq,0.738,179137,0.591,4eEqANCoWtjcegFNqnV3nq,0,6,0.679,-5.944,1,0.529,143.417,4,https://api.spotify.com/v1/tracks/4eEqANCoWtjcegFNqnV3nq,audio_features,spotify:track:4eEqANCoWtjcegFNqnV3nq,0.733,BAHZ,https://p.scdn.co/mp3-preview/0c959e84ce7bd5a65f1085483b6346517c43351e?cid=f0ab2ded1b8a482188532d1f3441d07c,4eEqANCoWtjcegFNqnV3nq
TAUK,0.0168,https://api.spotify.com/v1/audio-analysis/1bCx4AxNGu4gUBEazKPnsj,0.671,297213,0.703,1bCx4AxNGu4gUBEazKPnsj,0.889,2,0.0987,-7.775,1,0.0249,104.051,4,https://api.spotify.com/v1/tracks/1bCx4AxNGu4gUBEazKPnsj,audio_features,spotify:track:1bCx4AxNGu4gUBEazKPnsj,0.616,Afro-Tonic,https://p.scdn.co/mp3-preview/7a3dcebdb33d10c7af9147dcf46618d652a79d27?cid=f0ab2ded1b8a482188532d1f3441d07c,1bCx4AxNGu4gUBEazKPnsj
Afroto,0.203,https://api.spotify.com/v1/audio-analysis/37Qs3XrDloB2ocXfAhVnmL,0.671,247500,0.459,37Qs3XrDloB2ocXfAhVnmL,0,4,0.0963,-7.909,0,0.155,203.917,4,https://api.spotify.com/v1/tracks/37Qs3XrDloB2ocXfAhVnmL,audio_features,spotify:track:37Qs3XrDloB2ocXfAhVnmL,0.382,Ala Ba'ady,https://p.scdn.co/mp3-preview/5bcbb5e1fec42eae571207b92358b67a5f061017?cid=f0ab2ded1b8a482188532d1f3441d07c,37Qs3XrDloB2ocXfAhVnmL
Afroto,0.153,https://api.spotify.com/v1/audio-analysis/53BjuhvFCmv5T0VRhKuNrb,0.798,188357,0.867,53BjuhvFCmv5T0VRhKuNrb,1.00E-05,10,0.0643,-4.653,0,0.0532,107.97,4,https://api.spotify.com/v1/tracks/53BjuhvFCmv5T0VRhKuNrb,audio_features,spotify:track:53BjuhvFCmv5T0VRhKuNrb,0.784,FAR2 KHEBRA,https://p.scdn.co/mp3-preview/192b41cc9fbf351e845009ac8741a5a000d4cfdc?cid=f0ab2ded1b8a482188532d1f3441d07c,53BjuhvFCmv5T0VRhKuNrb
TAUK,0.00591,https://api.spotify.com/v1/audio-analysis/4Zw07hsWc5AL1sE35bFEun,0.409,520442,0.795,4Zw07hsWc5AL1sE35bFEun,0.776,6,0.149,-6.863,0,0.0347,101.486,4,https://api.spotify.com/v1/tracks/4Zw07hsWc5AL1sE35bFEun,audio_features,spotify:track:4Zw07hsWc5AL1sE35bFEun,0.635,Afro-Tonic,https://p.scdn.co/mp3-preview/d3fb1650fcd44f81c365bf8044cbeaaa4c3d135a?cid=f0ab2ded1b8a482188532d1f3441d07c,4Zw07hsWc5AL1sE35bFEun
